#
#
# ./calctrans file -o ../src-splitter/transition.h
# ./proccorpus corpus.0.txt > file;
|uim-fepの|あたらしい|ばーじょん| |uim-fepの|新しい|バージョン|
|wikipediaには| |wikipediaには|
|１にち|さいちょう|８じかん| |１日|最長|８時間|
|８にちまでに|かいとうしてください| |８日までに|回答してください|
|「|さとう|」|です| |「|佐藤|」|です|
|あきの|よながに|だらだらと|こーどを|かく| |秋の|夜長に|だらだらと|コードを|書く|
|あさってから|きょうとに|いきます| |明後日から|京都に|行きます|
|あしたから|ねる|まえに|うんどうを|する| |明日から|寝る|前に|運動を|する|
|あした|れいの|かいしゃの|ひとが|がっこうに|くるらしい| |明日|例の|会社の|人が|学校に|来るらしい|
|あしたは|こなくて|いいって|れんらくが|あった| |明日は|こなくて|いいって|連絡が|あった|
|あっちの|ぎょうかいは|ほうどうが|まともなので|うらやましい| |あっちの|業界は|報道が|まともなので|羨ましい|
|あてはまる|もの| |当てはまる|物|
|あと|すこしで|いい|ところまで|とうたつする| |あと|少しで|良い|所まで|到達する|
|あめが|ふる| |雨が|降る|
|あめの|ひに|しあいは|ありません| |雨の|日に|試合は|ありません|
|あなたの|きちは|すべて|わたしの|ものです| |あなたの|基地は|全て|私の|物です|
|あなたに|おねがいが|あります| |あなたに|お願いが|あります|
|あわらおんせんで|もらった|つめきりの|きれあじが|いい| |芦原温泉で|もらった|爪きりの|切れ味が|いい|
|あんけーとを|そそくさと|きにゅうする| |アンケートを|そそくさと|記入する|
|あんまり|こころあたりが|ない| |あんまり|心当たりが|無い|
|ありがとう| |ありがとう|
|あれは|めっせーじを|じゅしんしたよって|いう|いみじゃないかな| |あれは|メッセージを|受信したよって|いう|意味じゃないかな|
|あれは|たぶん|けんきゅうしつ|けいゆで|ひろっている| |あれは|たぶん|研究室|経由で|拾っている|
|あるいみ|じゅうじつした|１ねんかんでした| |ある意味|充実した|１年間でした|
|ある|ていどは|きかいてきな|ものの|はずですよね| |ある|程度は|機械的なものの|はずですよね|
|いいと|おもったら|すぐ|じっこうする| |いいと|思ったら|すぐ|実行する|
|いえから|かいしゃまでの|じかん| |家から|会社までの|時間|
|いえの|まえ| |家の|前|
|いく| |行く|
|いしゃが|しょほうせん|だすような|くすりです| |医者が|処方箋|出すような|薬です|
|いしの|うえにも|さんねん| |石の|上にも|三年|
|いちおう|いまは|しごと|じかんちゅうです| |一応|今は|仕事|時間中です|
|いつまで|こんな|ちょうしなんだろう| |いつまで|こんな|調子なんだろう|
|いったら|いい| |行ったら|いい|
|いっぱい|れいぶんを|ふやしている| |いっぱい|例文を|増やしている|
|いまいち|できが|よくない| |いまいち|できが|良くない|
|いまから|さんか| |今から|参加|
|いまどき|そんな|やりかたでは|だめだ| |今時|そんな|やり方では|ダメだ|
|いまは|こてんてきな|しゅほうを|つかっているのですが| |今は|古典的な|手法を|使っているのですが|
|いままで|りりーすした|なかでも|さいこうの|せいのうだと|おもいます| |今まで|リリースした|中でも|最高の|性能だと|思います|
|いやされに|いく| |癒されに|行く|
|うごかないか|かくにんする| |動かないか|確認する|
|うちが|しんげんに|いちばん|ちかかった| |うちが|震源に|一番|近かった|
|うんどうぶそくが|はげしい| |運動不足が|激しい|
|おおがかりな|すとーりーの|ない|はなしを|てきとうに|やる| |大がかりな|ストーリーの|無い|話を|適当に|やる|
|おおきい|さいずで|ためしたら|しっぱいした| |大きい|サイズで|試したら|失敗した|
|おおきさから|すると| |大きさから|すると|
|おかねは|いっさい|せいきゅうしません| |お金は|一切|請求しません|
|おかもと| |岡本|
|おさない|ころには|えびと|へびの|くべつが|ついていなかった| |幼い|頃には|エビと|蛇の|区別が|付いていなかった|
|おつかいの|ぱそこんの|ひづけの|せっていによっては|りようできません| |お使いの|パソコンの|日付の|設定によっては|利用できません|
|おとりこみちゅう|しつれいします| |お取り込み中|失礼します|
|おまえら|どっちも|あほだな| |お前ら|どっちも|アホだな|
|おなじ|もの| |同じ|物|
|おやきょうだいの|たんじょうびすら|しらない| |親兄弟の|誕生日すら|知らない|
|おれは|きぜつしやすい| |俺は|気絶しやすい|
|おれだって|むかしは|すなおだった| |俺だって|昔は|素直だった|
|おんせんで|つめを|といで|きました| |温泉で|爪を|研いできました|
|おーすとらりあとかでは|すでに|はつばいされているのだろうか| |オーストラリアとかでは|既に|発売されているのだろうか|
|かいぜんしたい|てんは|いくつも|あるのだが| |改善したい|点は|いくつも|あるのだが|
|かいさん|こんさーとに|きて|ぶーいんぐするとか|あほだ| |解散|コンサートに|きて|ブーイングするとか|アホだ|
|かぜ|ひきしょうな|じょうきょう| |風邪|引きそうな|状況|
|かたくなに|きょひする| |頑なに|拒否する|
|かたちを|していた| |形を|していた|
|かたづけるの|めんどう| |片付けるの|面倒|
|かつようけいを|はんていする|ほうほうを|かんがえる| |活用形を|判定する|方法を|考える|
|かみに|なまえを|かく| |紙に|名前を|書く|
|かれが|まにあだということを|かくす|しゅだんである| |彼が|マニアだということを|隠す|手段である|
